"","sentiment","day","date","n","contestant"
"1","negative","Saturday",2020-09-19,83,"ozo"
"2","positive","Saturday",2020-09-19,144,"ozo"
"3","positive","Wednesday",2020-09-16,2,"ozo"
"4","negative","Saturday",2020-09-19,73," vee"
"5","positive","Saturday",2020-09-19,40," vee"
"6","positive","Saturday",2020-09-19,1," prince"
"7","positive","Saturday",2020-09-19,4," lilo"
"8","negative","Saturday",2020-09-19,7," lucy"
"9","positive","Saturday",2020-09-19,7," lucy"
"10","negative","Saturday",2020-09-19,4," kiddwaya"
"11","positive","Saturday",2020-09-19,11," kiddwaya"
"12","negative","Saturday",2020-09-19,31," dorathy"
"13","positive","Saturday",2020-09-19,17," dorathy"
"14","positive","Saturday",2020-09-19,1," dorothy"
"15","positive","Saturday",2020-09-19,9," praise"
"16","negative","Saturday",2020-09-19,7," ka3na"
"17","positive","Saturday",2020-09-19,5," ka3na"
"18","negative","Saturday",2020-09-19,19," eric"
"19","positive","Saturday",2020-09-19,15," eric"
"20","negative","Saturday",2020-09-19,19," erica"
"21","positive","Saturday",2020-09-19,15," erica"
"22","negative","Saturday",2020-09-19,40," neo"
"23","positive","Saturday",2020-09-19,27," neo"
"24","negative","Saturday",2020-09-19,16," laycon"
"25","positive","Saturday",2020-09-19,30," laycon"
"26","negative","Saturday",2020-09-19,10," nengi"
"27","positive","Saturday",2020-09-19,20," nengi"
