"","time","day","date","sentiment","n","contestant"
"1","13 pm","Saturday",2020-09-19,"negative",16,"ozo"
"2","13 pm","Saturday",2020-09-19,"positive",26,"ozo"
"3","14 pm","Saturday",2020-09-19,"negative",32,"ozo"
"4","14 pm","Saturday",2020-09-19,"positive",63,"ozo"
"5","15 pm","Saturday",2020-09-19,"negative",30,"ozo"
"6","15 pm","Saturday",2020-09-19,"positive",44,"ozo"
"7","16 pm","Saturday",2020-09-19,"negative",4,"ozo"
"8","16 pm","Saturday",2020-09-19,"positive",10,"ozo"
"9","21 pm","Wednesday",2020-09-16,"positive",2,"ozo"
"10","7 am","Saturday",2020-09-19,"negative",1,"ozo"
"11","7 am","Saturday",2020-09-19,"positive",1,"ozo"
"12","13 pm","Saturday",2020-09-19,"negative",3," vee"
"13","13 pm","Saturday",2020-09-19,"positive",5," vee"
"14","14 pm","Saturday",2020-09-19,"negative",38," vee"
"15","14 pm","Saturday",2020-09-19,"positive",14," vee"
"16","15 pm","Saturday",2020-09-19,"negative",12," vee"
"17","15 pm","Saturday",2020-09-19,"positive",7," vee"
"18","16 pm","Saturday",2020-09-19,"negative",20," vee"
"19","16 pm","Saturday",2020-09-19,"positive",14," vee"
"20","15 pm","Saturday",2020-09-19,"positive",1," prince"
"21","14 pm","Saturday",2020-09-19,"positive",2," lilo"
"22","15 pm","Saturday",2020-09-19,"positive",2," lilo"
"23","13 pm","Saturday",2020-09-19,"negative",1," lucy"
"24","14 pm","Saturday",2020-09-19,"negative",6," lucy"
"25","14 pm","Saturday",2020-09-19,"positive",5," lucy"
"26","15 pm","Saturday",2020-09-19,"positive",2," lucy"
"27","13 pm","Saturday",2020-09-19,"negative",1," kiddwaya"
"28","13 pm","Saturday",2020-09-19,"positive",5," kiddwaya"
"29","15 pm","Saturday",2020-09-19,"positive",3," kiddwaya"
"30","16 pm","Saturday",2020-09-19,"negative",3," kiddwaya"
"31","16 pm","Saturday",2020-09-19,"positive",3," kiddwaya"
"32","14 pm","Saturday",2020-09-19,"negative",2," dorathy"
"33","14 pm","Saturday",2020-09-19,"positive",3," dorathy"
"34","15 pm","Saturday",2020-09-19,"negative",14," dorathy"
"35","15 pm","Saturday",2020-09-19,"positive",3," dorathy"
"36","16 pm","Saturday",2020-09-19,"negative",15," dorathy"
"37","16 pm","Saturday",2020-09-19,"positive",11," dorathy"
"38","13 pm","Saturday",2020-09-19,"positive",1," dorothy"
"39","14 pm","Saturday",2020-09-19,"positive",4," praise"
"40","15 pm","Saturday",2020-09-19,"positive",5," praise"
"41","13 pm","Saturday",2020-09-19,"negative",1," ka3na"
"42","14 pm","Saturday",2020-09-19,"negative",6," ka3na"
"43","14 pm","Saturday",2020-09-19,"positive",5," ka3na"
"44","13 pm","Saturday",2020-09-19,"negative",7," eric"
"45","13 pm","Saturday",2020-09-19,"positive",8," eric"
"46","14 pm","Saturday",2020-09-19,"negative",6," eric"
"47","14 pm","Saturday",2020-09-19,"positive",1," eric"
"48","15 pm","Saturday",2020-09-19,"negative",2," eric"
"49","15 pm","Saturday",2020-09-19,"positive",3," eric"
"50","16 pm","Saturday",2020-09-19,"negative",3," eric"
"51","16 pm","Saturday",2020-09-19,"positive",2," eric"
"52","7 am","Saturday",2020-09-19,"negative",1," eric"
"53","7 am","Saturday",2020-09-19,"positive",1," eric"
"54","13 pm","Saturday",2020-09-19,"negative",7," erica"
"55","13 pm","Saturday",2020-09-19,"positive",8," erica"
"56","14 pm","Saturday",2020-09-19,"negative",6," erica"
"57","14 pm","Saturday",2020-09-19,"positive",1," erica"
"58","15 pm","Saturday",2020-09-19,"negative",2," erica"
"59","15 pm","Saturday",2020-09-19,"positive",3," erica"
"60","16 pm","Saturday",2020-09-19,"negative",3," erica"
"61","16 pm","Saturday",2020-09-19,"positive",2," erica"
"62","7 am","Saturday",2020-09-19,"negative",1," erica"
"63","7 am","Saturday",2020-09-19,"positive",1," erica"
"64","13 pm","Saturday",2020-09-19,"negative",3," neo"
"65","13 pm","Saturday",2020-09-19,"positive",5," neo"
"66","14 pm","Saturday",2020-09-19,"negative",4," neo"
"67","14 pm","Saturday",2020-09-19,"positive",4," neo"
"68","15 pm","Saturday",2020-09-19,"negative",16," neo"
"69","15 pm","Saturday",2020-09-19,"positive",8," neo"
"70","16 pm","Saturday",2020-09-19,"negative",17," neo"
"71","16 pm","Saturday",2020-09-19,"positive",10," neo"
"72","13 pm","Saturday",2020-09-19,"positive",5," laycon"
"73","14 pm","Saturday",2020-09-19,"negative",10," laycon"
"74","14 pm","Saturday",2020-09-19,"positive",15," laycon"
"75","15 pm","Saturday",2020-09-19,"negative",2," laycon"
"76","15 pm","Saturday",2020-09-19,"positive",5," laycon"
"77","16 pm","Saturday",2020-09-19,"negative",4," laycon"
"78","16 pm","Saturday",2020-09-19,"positive",5," laycon"
"79","13 pm","Saturday",2020-09-19,"negative",4," nengi"
"80","13 pm","Saturday",2020-09-19,"positive",5," nengi"
"81","14 pm","Saturday",2020-09-19,"negative",2," nengi"
"82","14 pm","Saturday",2020-09-19,"positive",5," nengi"
"83","15 pm","Saturday",2020-09-19,"negative",1," nengi"
"84","15 pm","Saturday",2020-09-19,"positive",8," nengi"
"85","16 pm","Saturday",2020-09-19,"negative",3," nengi"
"86","16 pm","Saturday",2020-09-19,"positive",2," nengi"
