"","sentiment","date","n","name"
"1","anger","2020-09-19",58,"ozo"
"2","anticipation","2020-09-19",159,"ozo"
"3","disgust","2020-09-19",9,"ozo"
"4","fear","2020-09-19",28,"ozo"
"5","joy","2020-09-19",70,"ozo"
"6","negative","2020-09-19",60,"ozo"
"7","positive","2020-09-19",150,"ozo"
"8","sadness","2020-09-19",4,"ozo"
"9","surprise","2020-09-19",7,"ozo"
"10","trust","2020-09-19",63,"ozo"
"11","anger","2020-09-19",38," vee"
"12","anticipation","2020-09-19",63," vee"
"13","disgust","2020-09-19",1," vee"
"14","fear","2020-09-19",9," vee"
"15","joy","2020-09-19",16," vee"
"16","negative","2020-09-19",9," vee"
"17","positive","2020-09-19",44," vee"
"18","surprise","2020-09-19",4," vee"
"19","trust","2020-09-19",29," vee"
"20","anticipation","2020-09-19",2," prince"
"21","joy","2020-09-19",1," prince"
"22","positive","2020-09-19",6," prince"
"23","anger","2020-09-19",1," lilo"
"24","anticipation","2020-09-19",2," lilo"
"25","joy","2020-09-19",2," lilo"
"26","positive","2020-09-19",4," lilo"
"27","trust","2020-09-19",1," lilo"
"28","anger","2020-09-19",3," lucy"
"29","anticipation","2020-09-19",6," lucy"
"30","joy","2020-09-19",12," lucy"
"31","negative","2020-09-19",4," lucy"
"32","positive","2020-09-19",8," lucy"
"33","anger","2020-09-19",2," kiddwaya"
"34","anticipation","2020-09-19",7," kiddwaya"
"35","disgust","2020-09-19",1," kiddwaya"
"36","fear","2020-09-19",1," kiddwaya"
"37","joy","2020-09-19",5," kiddwaya"
"38","negative","2020-09-19",3," kiddwaya"
"39","positive","2020-09-19",12," kiddwaya"
"40","trust","2020-09-19",2," kiddwaya"
"41","anger","2020-09-19",22," dorathy"
"42","anticipation","2020-09-19",13," dorathy"
"43","disgust","2020-09-19",4," dorathy"
"44","joy","2020-09-19",3," dorathy"
"45","negative","2020-09-19",8," dorathy"
"46","positive","2020-09-19",19," dorathy"
"47","surprise","2020-09-19",2," dorathy"
"48","trust","2020-09-19",16," dorathy"
"49","anticipation","2020-09-19",2," dorothy"
"50","joy","2020-09-19",1," dorothy"
"51","joy","2020-09-19",6," praise"
"52","positive","2020-09-19",1," praise"
"53","anticipation","2020-09-19",1," wathoni"
"54","anger","2020-09-19",3," ka3na"
"55","anticipation","2020-09-19",6," ka3na"
"56","joy","2020-09-19",9," ka3na"
"57","negative","2020-09-19",4," ka3na"
"58","positive","2020-09-19",7," ka3na"
"59","anger","2020-09-19",6," eric"
"60","anticipation","2020-09-19",15," eric"
"61","disgust","2020-09-19",2," eric"
"62","fear","2020-09-19",2," eric"
"63","joy","2020-09-19",7," eric"
"64","negative","2020-09-19",8," eric"
"65","positive","2020-09-19",15," eric"
"66","surprise","2020-09-19",2," eric"
"67","trust","2020-09-19",5," eric"
"68","anger","2020-09-19",6," erica"
"69","anticipation","2020-09-19",15," erica"
"70","disgust","2020-09-19",2," erica"
"71","fear","2020-09-19",2," erica"
"72","joy","2020-09-19",7," erica"
"73","negative","2020-09-19",8," erica"
"74","positive","2020-09-19",15," erica"
"75","surprise","2020-09-19",2," erica"
"76","trust","2020-09-19",5," erica"
"77","anger","2020-09-19",31," neo"
"78","anticipation","2020-09-19",48," neo"
"79","disgust","2020-09-19",5," neo"
"80","fear","2020-09-19",9," neo"
"81","joy","2020-09-19",8," neo"
"82","negative","2020-09-19",8," neo"
"83","positive","2020-09-19",33," neo"
"84","surprise","2020-09-19",7," neo"
"85","trust","2020-09-19",24," neo"
"86","anticipation","2020-09-19",1," tolanibaj"
"87","negative","2020-09-19",2," tolanibaj"
"88","anger","2020-09-19",19," laycon"
"89","anticipation","2020-09-19",53," laycon"
"90","disgust","2020-09-19",1," laycon"
"91","fear","2020-09-19",9," laycon"
"92","joy","2020-09-19",11," laycon"
"93","negative","2020-09-19",13," laycon"
"94","positive","2020-09-19",25," laycon"
"95","surprise","2020-09-19",3," laycon"
"96","trust","2020-09-19",25," laycon"
"97","anger","2020-09-19",8," nengi"
"98","anticipation","2020-09-19",17," nengi"
"99","fear","2020-09-19",6," nengi"
"100","joy","2020-09-19",10," nengi"
"101","negative","2020-09-19",9," nengi"
"102","positive","2020-09-19",15," nengi"
"103","surprise","2020-09-19",1," nengi"
"104","trust","2020-09-19",20," nengi"
