"","date","n","contestant"
"1","2020-09-16",2,"ozo"
"2","2020-09-19",184,"ozo"
"3","2020-09-19",32," vee"
"4","2020-09-19",1," prince"
"5","2020-09-19",5," lilo"
"6","2020-09-19",7," lucy"
"7","2020-09-19",7," kiddwaya"
"8","2020-09-19",11," dorathy"
"9","2020-09-19",1," dorothy"
"10","2020-09-19",3," praise"
"11","2020-09-19",2," wathoni"
"12","2020-09-19",5," ka3na"
"13","2020-09-19",13," eric"
"14","2020-09-19",13," erica"
"15","2020-09-19",27," neo"
"16","2020-09-19",1," tolanibaj"
"17","2020-09-19",33," laycon"
"18","2020-09-19",31," nengi"
